,Ether_dst,Ether_src,IP_id,IP_len,IP_ttl,TCP_dataofs,TCP_dport,TCP_seq,TCP_sport,TCP_window,load_len,IP_proto_icmp,IP_proto_igmp,IP_proto_tcp,IP_proto_udp,TCP_flags_A,TCP_flags_FA,TCP_flags_PA,TCP_flags_R,TCP_flags_RA,TCP_flags_S,TCP_flags_SA,label_src
121,e0:55:3d:02:41:21,84:38:35:5a:70:40,35581.0,98.0,64.0,8.0,334.0,2980371643.0,59560.0,4096.0,140.0,0,0,1,0,0,0,1,0,0,0,0,1
122,e0:55:3d:02:41:21,84:38:35:5a:70:40,11243.0,865.0,64.0,8.0,334.0,2980371689.0,59560.0,4096.0,2390.0,0,0,1,0,0,0,1,0,0,0,0,1
124,e0:55:3d:02:41:21,84:38:35:5a:70:40,51421.0,863.0,64.0,8.0,334.0,2980372502.0,59560.0,4096.0,2452.0,0,0,1,0,0,0,1,0,0,0,0,1
125,e0:55:3d:02:41:21,84:38:35:5a:70:40,15976.0,863.0,64.0,8.0,334.0,2980373313.0,59560.0,4096.0,2230.0,0,0,1,0,0,0,1,0,0,0,0,1
127,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,5099.0,84.0,64.0,,,,,,222.0,1,0,0,0,0,0,0,0,0,0,0,3
128,e0:55:3d:02:41:21,84:38:35:5a:70:40,1984.0,864.0,64.0,8.0,334.0,2980374124.0,59560.0,4096.0,2340.0,0,0,1,0,0,0,1,0,0,0,0,1
129,e0:55:3d:02:41:21,84:38:35:5a:70:40,4066.0,864.0,64.0,8.0,334.0,2980374936.0,59560.0,4096.0,2414.0,0,0,1,0,0,0,1,0,0,0,0,1
130,e0:55:3d:02:41:21,84:38:35:5a:70:40,52345.0,863.0,64.0,8.0,334.0,2980375748.0,59560.0,4096.0,2371.0,0,0,1,0,0,0,1,0,0,0,0,1
135,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,5100.0,84.0,64.0,,,,,,222.0,1,0,0,0,0,0,0,0,0,0,0,3
136,e0:55:3d:02:41:21,84:38:35:5a:70:40,58462.0,52.0,64.0,8.0,334.0,2980376559.0,59560.0,4094.0,,0,0,1,0,1,0,0,0,0,0,0,1
139,e0:55:3d:02:41:21,84:38:35:5a:70:40,1893.0,52.0,64.0,8.0,334.0,3463310689.0,59554.0,9669.0,,0,0,1,0,1,0,0,0,0,0,0,1
145,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,5101.0,84.0,64.0,,,,,,222.0,1,0,0,0,0,0,0,0,0,0,0,3
146,e0:55:3d:02:41:21,84:38:35:5a:70:40,3249.0,52.0,64.0,8.0,334.0,2980376559.0,59560.0,4093.0,,0,0,1,0,1,0,0,0,0,0,0,1
147,e0:55:3d:02:41:21,84:38:35:5a:70:40,59687.0,52.0,64.0,8.0,334.0,2980376559.0,59560.0,4049.0,,0,0,1,0,1,0,0,0,0,0,0,1
148,e0:55:3d:02:41:21,84:38:35:5a:70:40,15908.0,52.0,64.0,8.0,334.0,2980376559.0,59560.0,4037.0,,0,0,1,0,1,0,0,0,0,0,0,1
