,Ether_dst,Ether_src,IP_id,IP_len,IP_proto,IP_ttl,TCP_dataofs,TCP_dport,TCP_flags,TCP_seq,TCP_sport,TCP_window,load_len
2911,88:15:44:aa:47:2e,e0:55:3d:02:41:21,48865.0,216.0,icmp,63.0,,,,,,,468.0
2912,e0:55:3d:02:41:21,28:f0:76:31:d3:58,47390.0,40.0,tcp,64.0,5.0,334.0,A,313025044.0,65461.0,4096.0,
2913,28:f0:76:31:d3:58,e0:55:3d:02:41:21,0.0,70.0,udp,43.0,,,,,,,117.0
2914,28:f0:76:31:d3:58,e0:55:3d:02:41:21,3278.0,52.0,tcp,43.0,8.0,65461.0,A,1383741462.0,334.0,346.0,
2915,e0:55:3d:02:41:21,28:f0:76:31:d3:58,65402.0,70.0,udp,64.0,,,,,,,130.0
2916,28:f0:76:31:d3:58,e0:55:3d:02:41:21,0.0,70.0,udp,43.0,,,,,,,136.0
2917,e0:55:3d:02:41:21,88:15:44:aa:47:2e,43011.0,121.0,udp,250.0,,,,,,,151.0
2918,e0:55:3d:02:41:21,88:15:44:aa:47:2e,45444.0,121.0,udp,250.0,,,,,,,151.0
2919,e0:55:3d:02:41:21,28:f0:76:31:d3:58,54195.0,64.0,udp,64.0,,,,,,,121.0
2920,5c:aa:fd:4c:87:a0,e0:55:3d:02:41:21,,,,,,,,,,,
2921,e0:55:3d:02:41:21,5c:aa:fd:4c:87:a0,,,,,,,,,,,
2922,28:f0:76:31:d3:58,e0:55:3d:02:41:21,0.0,70.0,udp,43.0,,,,,,,125.0
2923,28:f0:76:31:d3:58,e0:55:3d:02:41:21,0.0,70.0,udp,43.0,,,,,,,140.0
2924,28:f0:76:31:d3:58,e0:55:3d:02:41:21,0.0,48.0,udp,43.0,,,,,,,72.0
2925,e0:55:3d:02:41:21,28:f0:76:31:d3:58,3116.0,70.0,udp,64.0,,,,,,,130.0
2926,e0:55:3d:02:41:21,78:28:ca:03:80:0c,13993.0,87.0,tcp,64.0,8.0,334.0,PA,2652323151.0,38295.0,318.0,126.0
2927,78:28:ca:03:80:0c,e0:55:3d:02:41:21,22138.0,83.0,tcp,43.0,8.0,38295.0,PA,2011156168.0,334.0,102.0,95.0
2928,e0:55:3d:02:41:21,78:28:ca:03:80:0c,13994.0,52.0,tcp,64.0,8.0,334.0,A,2652323186.0,38295.0,318.0,
2929,ff:ff:ff:ff:ff:ff,78:28:ca:32:4b:28,,,,,,,,,,,211.0
2930,01:00:5e:00:00:fb,40:cb:c0:bc:36:7e,1292.0,123.0,udp,255.0,,,,,,,
